bacteria,Silt,Sand,Clay,Fe,P,Rainfall,Ca,SOM,pH,N
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera;s__gargensis,0.668520092013,0.655444376055,0.574668376592,0.416440596881,0.398160286393,0.28418685306,0.271995782021,0.0890550276678,0.0475240047154,0.0199255770049
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__;s__,0.595146217667,0.562448787445,0.458605722775,0.331033681862,0.142710142417,0.0816237075414,0.0748690496301,0.0873478763137,0.00255675426577,0.0235838011664
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Gemmata;s__,0.517624985817,0.516287246924,0.46765156591,0.307298803841,0.199901252209,0.223051980751,0.142414745397,0.0448278428168,0.03531689677,0.0372264597857
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__,0.494508889655,0.484593263068,0.424462680696,0.326452688372,0.277944673269,0.19298341299,0.178461911042,0.0965060005613,0.0253525688599,0.00697370595853
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__,0.463425851817,0.454299098372,0.398206619359,0.237203892202,0.132176882214,0.0742400883155,0.100382291399,0.0760985213171,0.0103572759446,0.117298313168
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__;s__,0.434427959607,0.438233738483,0.405387584915,0.221035484773,0.176724573427,0.225668957653,0.157701813692,0.0280029187637,0.0441095519253,0.0829961937351
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Ellin6067;f__;g__;s__,0.393661436499,0.383000128017,0.330837606824,0.167137549292,0.113057764454,0.0616756198818,0.0778314081817,0.0342838899058,0.00379917003309,0.113374723932
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera;s__,0.390510047301,0.398596371047,0.376748031768,0.335947057934,0.309436809727,0.31922038502,0.195329749566,0.0439024219622,0.0492898516498,0.016295036653
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__MND1;f__;g__;s__,0.364098327228,0.333952781477,0.255891141122,0.214943443653,0.060304590421,0.0481624312839,0.0176005095371,0.0839240614103,0.000504123245717,0.000670838832627
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__,0.346073356229,0.336397314657,0.290072567244,0.155649757055,0.0958752281239,0.0381592311864,0.0984349330504,0.0684812105492,0.00918320833583,0.0668161098846
